,num_nodes,edge_prob,number_train_samples_per_dataset,root_std,non_root_std,baseline_binary,attention_binary,baseline_beta,attention_beta,baseline_uncertain,attention_uncertain
2725,8,0.20144341886043549,154,1.0258085012435914,0.6632993022600809,-0.021039843559265137,-0.038103342056274414,-0.012756824493408203,-0.02479386329650879,-0.019414305686950684,-0.03205084800720215
2726,15,0.1375299096107483,114,0.9498594522476196,0.5285778433084488,0.5875719785690308,0.17313873767852783,0.5827804207801819,0.5905216336250305,0.5888941287994385,0.5966792702674866
2727,8,0.39389392733573914,119,2.9782767295837402,0.5316521277030309,0.9259624481201172,0.871334433555603,0.9221600294113159,0.9264240264892578,0.9249715209007263,0.9249626994132996
2728,6,0.11597058176994324,131,0.5865950683752695,0.6749573051929474,0.6279717683792114,0.3381955027580261,0.6266705989837646,0.6385595798492432,0.6314802169799805,0.6318914890289307
2729,4,0.3748706877231598,33,1.7787375450134277,0.26643094420433044,0.3711091876029968,0.024470806121826172,0.37249481678009033,0.3706625699996948,0.3671618103981018,0.36932438611984253
2730,3,0.22841541469097137,40,1.0025523900985718,1.251948595046997,-0.006921172142028809,0.001880943775177002,-0.01098179817199707,-0.03113269805908203,-0.00327455997467041,-0.020189762115478516
2731,11,0.1671086996793747,174,1.1737480238080025,0.5143472467150006,0.31586188077926636,0.047161638736724854,0.3172958493232727,0.3172244429588318,0.31882935762405396,0.3182453513145447
2732,15,0.15892836451530457,2,0.6251196682453155,0.5604746505618096,0.05885082483291626,0.09307605028152466,0.049296677112579346,0.11844587326049805,0.047730088233947754,0.13688033819198608
2733,24,0.1167052835226059,118,1.199354777733485,0.7467136507232984,-0.014621615409851074,-0.014708995819091797,-0.012920975685119629,-0.013138890266418457,-0.00860595703125,-0.012633442878723145
2734,12,0.14227785170078278,52,1.317859947681427,0.8658628463745117,-0.001201629638671875,0.012070536613464355,-0.0024091005325317383,0.04372280836105347,-0.0010777711868286133,0.024577617645263672
2735,7,0.22982792556285858,105,0.7557278722524643,0.4450809856255849,-0.0014022588729858398,-0.006120800971984863,-0.0028884410858154297,-0.001760721206665039,-0.0008779764175415039,-0.0024765729904174805
2736,17,0.12148001044988632,194,0.5555064007639885,0.6033381246603452,0.7099604606628418,0.706722617149353,0.7091805934906006,0.7090122699737549,0.7105213403701782,0.708634078502655
2737,19,0.11340118944644928,163,1.1497657125194867,0.5893222873027508,0.009874522686004639,-0.0004037618637084961,0.017951488494873047,0.029443562030792236,0.019106745719909668,0.02975541353225708
2738,18,0.11731718480587006,72,1.5366936326026917,0.44330236315727234,0.043732404708862305,0.006484687328338623,0.032758235931396484,0.016632139682769775,0.049401044845581055,0.05445736646652222
2739,14,0.10343970358371735,95,0.752428392569224,0.44899176359176635,0.8762045502662659,0.865628719329834,0.8728125691413879,0.8658624887466431,0.8692494630813599,0.8711007833480835
2740,9,0.31267014145851135,79,0.8565460244814554,0.3374188964565595,0.7701513767242432,0.3418083190917969,0.7613067030906677,0.7579495310783386,0.7413654327392578,0.7278541326522827
2741,7,0.14350491762161255,9,1.0220139722029369,0.33275238424539566,0.006863415241241455,0.13772451877593994,-0.004850625991821289,0.03728276491165161,0.004629790782928467,0.04248034954071045
2742,6,0.19278235733509064,139,0.434392637014389,0.2817178964614868,0.005226016044616699,-0.014476299285888672,0.007433593273162842,0.01450568437576294,0.005063772201538086,0.014714479446411133
2743,6,0.21455082297325134,22,1.535750076174736,0.458858922123909,0.2656099200248718,-0.039256930351257324,0.2664499282836914,0.2628575563430786,0.26553434133529663,0.27303099632263184
2744,7,0.21044331789016724,97,1.3182554244995117,0.4321901003519694,0.5052298307418823,0.4691827893257141,0.5038619041442871,0.5116699934005737,0.497398316860199,0.4971926808357239
2745,4,0.21583184599876404,196,1.7479547262191772,0.35373034079869586,0.17573195695877075,0.11780107021331787,0.17226886749267578,0.17406857013702393,0.17487859725952148,0.17031419277191162
2746,11,0.1468740552663803,43,0.9016837080319723,0.4555246904492378,-0.036101341247558594,-0.04096364974975586,-0.027388453483581543,-0.024978280067443848,-0.019721150398254395,-0.016407251358032227
2747,13,0.12307076901197433,127,0.6020374745130539,0.5455112142695321,0.28881633281707764,0.09716176986694336,0.2933337092399597,0.28777390718460083,0.2959495782852173,0.28643184900283813
2748,4,0.2547016441822052,168,0.739582896232605,0.34791719913482666,0.37724804878234863,0.3712882995605469,0.37845683097839355,0.37175214290618896,0.3755505084991455,0.3754681944847107
2749,3,0.16662533581256866,9,0.5903205126523972,0.27323028445243835,0.37184906005859375,0.2834293842315674,0.27654558420181274,0.32362550497055054,0.275287926197052,0.19565165042877197
2750,3,0.37166762351989746,55,0.3402065336704254,0.5076597630977631,0.07168662548065186,0.005880296230316162,0.06001925468444824,0.04505515098571777,0.07468748092651367,0.053676486015319824
2751,6,0.16249221563339233,170,0.865273505449295,0.32952065765857697,0.2970716953277588,0.22447127103805542,0.29914963245391846,0.29962509870529175,0.3008451461791992,0.29842180013656616
2752,7,0.378726065158844,95,0.6567673832178116,0.41096391280492145,0.4534337520599365,0.3518238067626953,0.4479248523712158,0.4545966386795044,0.4570455551147461,0.45988160371780396
2753,9,0.1443626433610916,180,0.9864602046353477,0.6310656815767288,0.21472376585006714,0.21630775928497314,0.2084638476371765,0.21337836980819702,0.20818430185317993,0.21661055088043213
2754,12,0.13601833581924438,96,0.8875224441289902,0.7259255852550268,0.024954140186309814,-0.0024268627166748047,0.020776808261871338,0.02307415008544922,0.02814573049545288,0.03601032495498657
2755,11,0.1371888667345047,10,1.6455832481384278,0.552150676647822,0.18659573793411255,0.10098779201507568,0.19065439701080322,0.17305415868759155,0.20939618349075317,0.16504216194152832
2756,6,0.1194772869348526,8,1.8161155184110005,0.35856735706329346,-0.17826664447784424,-0.14848995208740234,-0.1815357208251953,-0.13662827014923096,-0.188240647315979,-0.1990189552307129
2757,22,0.1214272528886795,136,0.8154848963022232,0.7127028182148933,0.8064948916435242,0.531403660774231,0.8088286519050598,0.8106635808944702,0.8099486827850342,0.812951922416687
2758,21,0.1364927738904953,99,0.7254101485013962,0.8294470619696838,0.20983928442001343,0.08060067892074585,0.2199222445487976,0.27656179666519165,0.21562671661376953,0.2645021080970764
2759,11,0.14484764635562897,169,0.34682177752256393,0.8980747972215924,0.7154206037521362,0.22289150953292847,0.7133423089981079,0.7149426937103271,0.7153909206390381,0.7181925773620605
2760,24,0.11388230323791504,111,0.9428692294491662,0.6623226632674535,0.5262647867202759,0.3402663469314575,0.4902547001838684,0.4879722595214844,0.4777076244354248,0.5205370187759399
