,num_nodes,edge_prob,number_train_samples_per_dataset,root_std,non_root_std,baseline,attention
98,15,0.11935263872146606,200,1.3705626279115677,0.6176826705535253,0.44062817096710205,0.4723532795906067
99,22,0.13562683761119843,179,1.0557942787806194,0.623021757373443,0.18405205011367798,0.23895263671875
100,24,0.1433059424161911,80,1.2143440663814544,0.5771515859024865,-0.058440566062927246,-0.03632533550262451
101,25,0.21540096402168274,100,0.9972672249589648,0.5732576234473122,0.5404993295669556,0.5558305978775024
102,12,0.3124791383743286,13,1.3950694799423218,0.37854323468425055,0.27462637424468994,0.6255152225494385
103,15,0.149566650390625,57,0.5578653301511493,0.4832834992557764,0.7269879579544067,0.727144718170166
104,9,0.3239986002445221,75,0.8960508853197098,0.4787468250308718,0.9035371541976929,0.9061442613601685
105,8,0.32855772972106934,17,1.1900428334871929,0.5513320446014405,-0.01757967472076416,-0.025722503662109375
106,22,0.2502557039260864,193,1.5408424238363903,0.4740279410034418,0.7216297388076782,0.7517136931419373
107,21,0.1363716572523117,63,1.5330851942300796,0.4676384935155511,0.5810216665267944,0.5770639181137085
108,12,0.2912696301937103,72,1.076408326625824,0.6183924674987793,0.7836995124816895,0.8074482679367065
109,19,0.14844323694705963,183,0.9326515964099339,0.6633087396621704,0.49031245708465576,0.522184431552887
110,14,0.15395291149616241,14,0.85034808019797,0.39213223941624165,-0.06684434413909912,-0.016223430633544922
111,19,0.39394786953926086,127,2.9706623554229736,0.7775014837582906,0.981095016002655,0.9804549217224121
112,8,0.18823237717151642,41,1.0995162203907967,0.516393393278122,0.030380606651306152,0.09400516748428345
113,4,0.26268520951271057,115,1.6635251839955647,0.3849707841873169,0.35745060443878174,0.3700786828994751
114,15,0.3864257037639618,189,0.3166194558143616,0.625890946813992,0.7424577474594116,0.7916690111160278
115,14,0.2960103154182434,72,0.6782923638820648,0.7963480042914549,0.772376537322998,0.7737682461738586
116,24,0.3942323923110962,88,2.5703885555267334,0.7384390954090201,0.7912038564682007,0.8631773591041565
117,17,0.21447616815567017,163,1.0384668171405793,0.5031533787647883,-0.052752017974853516,-0.011810302734375
118,15,0.380594938993454,104,0.5737142562866211,0.6891787486771742,0.5000944137573242,0.655972957611084
119,16,0.15196725726127625,137,1.0219893356164296,0.65206368714571,-0.02180337905883789,-0.022319555282592773
120,20,0.19219619035720825,48,1.57643381357193,0.6250458717346191,0.5808724164962769,0.6389560103416443
121,15,0.3187234401702881,37,1.1939749047160149,0.3778566826473583,0.5065926909446716,0.6280000805854797
122,7,0.1282653659582138,34,0.8394692689180374,0.8752313256263733,-0.03162205219268799,-0.02875196933746338
123,25,0.16059330105781555,145,1.05388024023601,0.6166351528631316,0.14372968673706055,0.18992996215820312
124,22,0.21716627478599548,119,0.6564734975496928,0.5029491437108893,0.7886132001876831,0.8012267351150513
125,10,0.21983100473880768,170,0.5911251902580261,0.5046508386731148,0.2301464080810547,0.23385095596313477
126,19,0.30141061544418335,76,0.8624705374240875,0.5924309883266687,0.7450994849205017,0.7728071808815002
127,11,0.3911846876144409,48,1.3205747827887535,0.46520647075441146,0.7889057397842407,0.7931646108627319
128,21,0.1554446965456009,94,1.1795614883303642,0.6538375937021695,0.6231033802032471,0.6277716159820557
129,7,0.25582584738731384,149,0.8464609384536743,0.8358270168304444,0.8932792544364929,0.8929104208946228
130,13,0.16317026317119598,47,1.5459050039450328,0.5075227043458393,0.17474710941314697,0.174618661403656
131,21,0.2201932966709137,112,1.5276116132736206,0.4035913199186325,-0.045781850814819336,-0.00424349308013916
132,6,0.33907610177993774,105,1.0595194697380066,0.5313963492711385,-0.026634573936462402,-0.018293261528015137
133,15,0.37958550453186035,49,0.37339626252651215,0.4295399464093722,-0.01620638370513916,-0.028116941452026367
134,18,0.1310882568359375,72,0.7398134299686977,0.9374724314971403,0.47089439630508423,0.5196807384490967
135,9,0.24325881898403168,173,1.334642509619395,0.4229046603043874,-0.00556492805480957,-0.009533882141113281
136,5,0.29390639066696167,108,0.6080006062984467,0.5932306051254272,-0.04332530498504639,-0.06371808052062988
137,23,0.26735562086105347,158,1.1334122121334076,0.6056577829938186,0.49930340051651,0.6757158041000366
138,20,0.18121156096458435,72,1.130997009575367,0.7444181367754936,0.4876008629798889,0.5341078042984009
139,12,0.2299487292766571,146,0.8889107823371887,0.5688455956322807,0.45491838455200195,0.43135493993759155
140,9,0.3545655906200409,54,0.7434929311275482,0.5481874644756317,-0.07307660579681396,0.023955821990966797
141,15,0.15259790420532227,15,0.7552703499794007,0.5980152219533921,0.05403512716293335,0.1845983862876892
142,18,0.1679256409406662,31,1.209966961826597,0.5798784440213983,0.30568403005599976,0.34508275985717773
143,4,0.2817000448703766,109,1.3496276338895161,0.35653361678123474,0.7438127398490906,0.7405651807785034
144,9,0.12050798535346985,24,1.2972973414829798,0.9503232836723328,0.4198157787322998,0.42696911096572876
145,9,0.20541147887706757,170,1.5548209697008133,0.42567482590675354,0.26782912015914917,0.26156085729599
146,22,0.10508613288402557,197,1.132905401289463,0.5386836358479091,0.09090381860733032,0.13732212781906128
147,7,0.3645479679107666,81,0.659071758389473,0.7496112386385599,0.06318461894989014,0.12455219030380249
148,25,0.10497579723596573,100,1.1841144574185212,0.4992105720134882,0.7222038507461548,0.7479879856109619
