,num_nodes,edge_prob,number_train_samples_per_dataset,root_std,non_root_std,baseline,nll
8068,8,0.10884466022253036,137,1.4767618536949159,0.6487508416175842,1.2760678146150894e-05,1.3265794223116245e-05
8069,13,0.1374032348394394,120,1.0877020082303457,0.5047892580429713,1.3870210295863217e-06,2.588241386547452e-06
8070,10,0.1974375694990158,183,1.3810359686613083,0.4813017398118973,9.475442311668303e-06,9.733219485497102e-06
8071,14,0.15541183948516846,142,1.1875325838724773,0.43182091414928436,7.50574836274609e-05,7.47821104596369e-05
8072,8,0.20539532601833344,161,1.1498191505670547,0.554513793438673,0.00012811539636459202,0.00012660195352509618
8073,7,0.2484036237001419,144,1.2792701125144958,0.5700683116912841,2.57704436990025e-06,2.8121557988924906e-06
8074,11,0.14710231125354767,38,1.4096135795116425,0.4690188744238445,5.606883860309608e-05,5.238417361397296e-05
8075,10,0.13042408227920532,174,0.7611748916762215,0.6602310339609782,1.208893536386313e-06,1.9375665942789055e-06
8076,15,0.2113018035888672,42,1.6331273019313812,0.7936921891841021,2.340238012266127e-07,5.35406400103966e-07
8077,15,0.11462733149528503,186,1.6227489054203033,0.7661955028772354,3.9090977224987e-05,4.012234785477631e-05
8078,22,0.10557281225919724,114,1.0955305695533752,0.7721145341793696,0.00010573027248028666,0.00010921230568783358
8079,9,0.1910991221666336,154,0.6455364465713501,0.7529079839587212,1.9381503079785034e-05,2.0078508896403946e-05
8080,4,0.29280969500541687,53,1.2857939004898071,0.26859280467033386,7.434363942593336e-05,0.00010602815746096894
8081,10,0.2770845890045166,136,0.8816986978054047,0.7485911349455515,1.4189546163834166e-05,1.6003201380954124e-05
8082,21,0.1958516240119934,42,0.9201825499534607,0.6118692057207227,9.57028760240064e-07,1.1617950121944887e-06
8083,6,0.18272998929023743,126,0.8228574395179749,0.5258055925369263,8.369298484467436e-06,8.474982678308152e-06
8084,5,0.3455553948879242,8,0.46598032116889954,0.5409359633922577,1.961979978659656e-05,2.2553502276423387e-05
8085,20,0.10509755462408066,103,1.353783859146966,0.5556683161041953,8.908205018087756e-06,9.120283721131273e-06
8086,5,0.11566228419542313,91,0.7767570912837982,0.8373200794061025,6.086495432100492e-07,7.94885409050039e-07
8087,20,0.1319512277841568,68,1.1512217356099024,0.48255021599206055,2.237485432488029e-06,3.455621708781109e-06
8088,8,0.2388870120048523,62,1.2541595250368118,0.37242477014660835,1.1982153409917373e-05,1.0587497854430694e-05
8089,15,0.10758764296770096,181,0.6540314592421055,0.6303706871611732,2.3850318484619493e-06,2.772123252725578e-06
8090,13,0.10133102536201477,117,1.1336657131711643,0.8999771858964648,3.883291719830595e-05,4.558960790745914e-05
8091,10,0.12252790480852127,30,1.1214745879173278,0.308450374007225,9.412979852641001e-05,0.00010034222941612825
8092,8,0.16685742139816284,31,1.6049071153004963,0.7847274005413055,1.4579961771232774e-06,1.6631378230158589e-06
8093,3,0.13768689334392548,107,2.781388998031616,0.7337846159934998,2.8885447136417497e-06,3.5662569644046016e-06
8094,13,0.10588725656270981,2,0.5524582639336586,0.3879703640937805,3.546839025148074e-06,4.288693162379786e-06
8095,16,0.10787034779787064,152,1.1601130494049616,0.6299510134590997,2.3557755412184633e-05,2.5457155061303638e-05
8096,11,0.13860628008842468,23,1.1183853099743526,0.5971805304288864,5.844280508426891e-07,8.008325380615133e-07
8097,17,0.11571066826581955,104,0.654412841796875,0.4912346924344699,4.0004364564083517e-05,3.816280514001846e-05
8098,5,0.31373170018196106,29,1.0610925555229187,0.6635360419750214,4.548075139609864e-06,5.0625362746359315e-06
8099,18,0.13206861913204193,79,1.6675186951955159,0.5149089905122916,0.00010554822074482217,0.00015893348609097302
8100,6,0.1900854855775833,53,1.594199816385905,0.6333560645580292,1.1045918881791295e-06,1.5109882269825903e-06
8101,11,0.2076662927865982,166,1.8342257261276245,0.7952040036519369,1.3419529523162055e-06,2.033906412179931e-06
8102,14,0.3042643964290619,150,0.7218611538410187,0.6041508885947141,4.6547604142688215e-05,4.994879782316275e-05
8103,8,0.16445791721343994,47,0.7705998897552491,1.2151816685994465,8.141621947288513e-06,8.305798473884352e-06
8104,13,0.10221529006958008,64,0.8748709559440613,0.7846866250038147,4.9453534302301705e-05,5.384699397836812e-05
8105,23,0.13121452927589417,96,1.1983917156855266,0.5361527230809716,4.012392309959978e-06,5.219888407737017e-06
