,num_nodes,edge_prob,number_train_samples_per_dataset,root_std,non_root_std,graph_info_score,baseline_binary,attention_binary,baseline_beta,attention_beta,baseline_uncertain,attention_uncertain
474,8,0.16462725400924683,134,0.6124552860856056,0.6462017819285393,0.0,-0.01788043975830078,-0.02281332015991211,-0.022051095962524414,-0.014916300773620605,-0.010733366012573242,-0.018610835075378418
475,3,0.14936256408691406,122,0.9497194290161133,1.7043819427490234,0.6666666666666666,-0.002657771110534668,-0.0034104585647583008,-0.00023925304412841797,0.0033538341522216797,-0.000700831413269043,0.003025650978088379
476,19,0.11832662671804428,189,0.9209939479827881,0.49019194713660647,0.08310249307479224,0.819888710975647,0.8277859091758728,0.8208292722702026,0.8265795111656189,0.8225225210189819,0.8273670673370361
477,10,0.24817506968975067,127,1.5054114609956741,0.5260011230905851,0.69,0.5869415402412415,0.038493454456329346,0.5524893999099731,0.5314304828643799,0.5081371068954468,0.5226994752883911
478,7,0.3334481716156006,39,2.2440932989120483,0.6320611573755741,0.3469387755102041,0.008536875247955322,0.011824846267700195,0.009859025478363037,0.011184275150299072,0.009231865406036377,0.0156327486038208
479,16,0.38171863555908203,103,0.6422422925631205,0.43916925214804137,0.46484375,0.5916727781295776,0.5611451864242554,0.5776728391647339,0.5961323976516724,0.5743608474731445,0.5921647548675537
480,13,0.39716029167175293,58,1.040378451347351,0.5668555398782095,0.10059171597633136,0.5014805793762207,0.5618331432342529,0.48979538679122925,0.5032167434692383,0.4737047553062439,0.48705416917800903
481,23,0.3243989646434784,83,1.1659070439636707,0.4364061888895537,0.15311909262759923,0.8017911911010742,0.8854898810386658,0.779167652130127,0.7924656271934509,0.7846404314041138,0.828821063041687
482,19,0.19459345936775208,149,1.9728803873062133,0.5585075095295906,0.1634349030470914,0.5057146549224854,0.4868272542953491,0.43742501735687256,0.4871677756309509,0.4508557915687561,0.4938492178916931
483,11,0.3104274570941925,52,1.6798433512449265,0.5823314913681575,0.45454545454545453,0.42058414220809937,0.4243003726005554,0.4234791398048401,0.41141295433044434,0.4219764471054077,0.42402082681655884
484,23,0.3660210371017456,2,0.38614802559216815,0.5348803043365479,0.775047258979206,-0.04992854595184326,0.09647458791732788,-0.08589529991149902,0.06895297765731812,-0.04219508171081543,0.061110734939575195
485,18,0.16784702241420746,137,1.1045477867126465,0.6200365103208102,0.36728395061728397,-0.060904741287231445,-0.015560388565063477,-0.035251736640930176,-0.011145591735839844,-0.062398314476013184,-0.06646215915679932
486,25,0.1093476265668869,179,0.6939541175961494,0.5741589148839314,0.0656,0.23165130615234375,0.00025779008865356445,0.2327297329902649,0.22547829151153564,0.2297382354736328,0.2394840121269226
487,20,0.2875027656555176,132,0.6506074965000153,0.5385991359750429,0.525,0.08025169372558594,0.056429505348205566,0.03816413879394531,0.0883370041847229,0.040307581424713135,0.09208959341049194
488,6,0.11776459217071533,141,0.5845913589000702,0.5842733979225159,0.19444444444444445,0.7204962372779846,0.7208406925201416,0.7202240228652954,0.7266895174980164,0.720115602016449,0.7187201976776123
489,9,0.18877245485782623,83,0.46048983931541443,0.3677607902458736,0.7530864197530864,0.1275177001953125,0.009272754192352295,0.10939496755599976,0.09518450498580933,0.10423469543457031,0.08922791481018066
