run_id,num_train_samples,y,baseline_beta,baseline_nll_beta
69a18ce4,20,-5.655656,9.671325e-07,2.991042e-06
69a18ce4,20,-5.635636,1.0335721e-06,2.2081372e-06
69a18ce4,20,-5.615616,9.891085e-07,1.7845414e-06
69a18ce4,20,-5.595596,1.0331423e-06,2.4146916e-06
69a18ce4,20,-5.575576,1.080329e-06,2.396979e-06
69a18ce4,20,-5.555556,1.0865554e-06,3.219839e-06
69a18ce4,20,-5.535536,1.1252772e-06,2.9725811e-06
69a18ce4,20,-5.515516,1.1626638e-06,2.6439895e-06
69a18ce4,20,-5.495496,1.1916189e-06,3.0571175e-06
69a18ce4,20,-5.475476,1.2604046e-06,4.248793e-06
69a18ce4,20,-5.455456,1.262847e-06,3.1045495e-06
69a18ce4,20,-5.435436,1.3030509e-06,3.3169888e-06
69a18ce4,20,-5.415416,1.3448501e-06,3.1587601e-06
69a18ce4,20,-5.3953958,1.4099151e-06,4.526442e-06
69a18ce4,20,-5.3753757,1.451273e-06,4.880957e-06
69a18ce4,20,-5.3553557,1.5107469e-06,4.663664e-06
69a18ce4,20,-5.3353357,1.523816e-06,6.014694e-06
69a18ce4,20,-5.3153157,1.5622926e-06,3.4916573e-06
69a18ce4,20,-5.2952952,1.7227063e-06,6.0321454e-06
69a18ce4,20,-5.275275,1.7590272e-06,4.027014e-06
69a18ce4,20,-5.255255,1.7612933e-06,6.94697e-06
69a18ce4,20,-5.235235,1.8340246e-06,4.591536e-06
69a18ce4,20,-5.215215,1.9106485e-06,6.437692e-06
69a18ce4,20,-5.195195,2.0669754e-06,6.0396283e-06
69a18ce4,20,-5.175175,1.9975892e-06,4.6689865e-06
69a18ce4,20,-5.155155,1.9531212e-06,5.9734443e-06
69a18ce4,20,-5.135135,2.1177527e-06,5.5421688e-06
69a18ce4,20,-5.115115,2.2556565e-06,6.3912607e-06
69a18ce4,20,-5.095095,2.2741415e-06,6.618234e-06
69a18ce4,20,-5.075075,2.2882082e-06,7.0031792e-06
69a18ce4,20,-5.055055,2.4262565e-06,8.3559935e-06
69a18ce4,20,-5.035035,2.4236801e-06,8.212727e-06
69a18ce4,20,-5.015015,2.5744491e-06,6.4546957e-06
69a18ce4,20,-4.994995,2.737561e-06,9.260238e-06
69a18ce4,20,-4.974975,2.7599797e-06,8.4221565e-06
69a18ce4,20,-4.954955,2.8028494e-06,7.802499e-06
69a18ce4,20,-4.934935,2.7947033e-06,8.176622e-06
